continent,region,country,city,iataCode,cityiataCode
Africa,Northern Africa,Algeria,Adrar,AZR,Adrar-AZR
Africa,Northern Africa,Algeria,Algiers,ALG,Algiers-ALG
Africa,Northern Africa,Algeria,Annaba,AAE,Annaba-AAE
Africa,Northern Africa,Algeria,Batna,BLJ,Batna-BLJ
Africa,Northern Africa,Algeria,Béjaïa,BJA,Béjaïa-BJA
Africa,Northern Africa,Algeria,Oumache,BSK,Oumache-BSK
Africa,Northern Africa,Algeria,Chlef,CFK,Chlef-CFK
Africa,Northern Africa,Algeria,Constantine,CZL,Constantine-CZL
Africa,Northern Africa,Algeria,Hassi Messaoud,HME,Hassi Messaoud-HME
Africa,Northern Africa,Algeria,Jijel,GJL,Jijel-GJL
Africa,Northern Africa,Algeria,Oran,ORN,Oran-ORN
Africa,Northern Africa,Algeria,Sétif,QSF,Sétif-QSF
Africa,Northern Africa,Algeria,Tamanrasset,TMR,Tamanrasset-TMR
Africa,Northern Africa,Algeria,Tlemcen,TLM,Tlemcen-TLM
Africa,Northern Africa,Egypt,Alexandria,HBE,Alexandria-HBE
Africa,Northern Africa,Egypt,Alexandria,ALY,Alexandria-ALY
Africa,Northern Africa,Egypt,Asyut,ATZ,Asyut-ATZ
Africa,Northern Africa,Egypt,Aswan,ASW,Aswan-ASW
Africa,Northern Africa,Egypt,Cairo,CAI,Cairo-CAI
Africa,Northern Africa,Egypt,El Arish,AAC,El Arish-AAC
Africa,Northern Africa,Egypt,El Dabaa,DBB,El Dabaa-DBB
Africa,Northern Africa,Egypt,Hurghada,HRG,Hurghada-HRG
Africa,Northern Africa,Egypt,Luxor,LXR,Luxor-LXR
Africa,Northern Africa,Egypt,Marsa Alam,RMF,Marsa Alam-RMF
Africa,Northern Africa,Egypt,Mersa Matruh,MUH,Mersa Matruh-MUH
Africa,Northern Africa,Egypt,Saint Catherine,SKV,Saint Catherine-SKV
Africa,Northern Africa,Egypt,Sharm El Sheikh,SSH,Sharm El Sheikh-SSH
Africa,Northern Africa,Egypt,Sohag,HMB,Sohag-HMB
Africa,Northern Africa,Egypt,Taba,TCP,Taba-TCP
Africa,Northern Africa,Libya,Benghazi,BEN,Benghazi-BEN
Africa,Northern Africa,Libya,Sabha,SEB,Sabha-SEB
Africa,Northern Africa,Libya,Tripoli,TIP,Tripoli-TIP
Africa,Northern Africa,Libya,Tajoura,MJI,Tajoura-MJI
Africa,Northern Africa,Morocco,Agadir,AGA,Agadir-AGA
Africa,Northern Africa,Morocco,Casablanca,CMN,Casablanca-CMN
Africa,Northern Africa,Morocco,Fes,FEZ,Fes-FEZ
Africa,Northern Africa,Morocco,Marrakech,RAK,Marrakech-RAK
Africa,Northern Africa,Morocco,Nador,NDR,Nador-NDR
Africa,Northern Africa,Morocco,Oujda,OUD,Oujda-OUD
Africa,Northern Africa,Morocco,Rabat,RBA,Rabat-RBA
Africa,Northern Africa,Morocco,Tangier,TNG,Tangier-TNG
Africa,Northern Africa,Morocco,Tetouan,TTU,Tetouan-TTU
Africa,Northern Africa,Morocco,Dakhla,VIL,Dakhla-VIL
Africa,Northern Africa,Morocco,Laayoune,EUN,Laayoune-EUN
Africa,Northern Africa,Sudan,Khartoum,KRT,Khartoum-KRT
Africa,Northern Africa,Sudan,Port Sudan,PZU,Port Sudan-PZU
Africa,Northern Africa,Tunisia,Djerba,DJE,Djerba-DJE
Africa,Northern Africa,Tunisia,Enfidha,NBE,Enfidha-NBE
Africa,Northern Africa,Tunisia,Monastir,MIR,Monastir-MIR
Africa,Northern Africa,Tunisia,Sfax,SFA,Sfax-SFA
Africa,Northern Africa,Tunisia,Tabarka,TBJ,Tabarka-TBJ
